type,headline,url,date
Press Release,Justice Department Secures Agreement from North Carolina-Based Towing Company to Resolve Violations of the Servicemembers Civil Relief Act,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-north-carolina-based-towing-company-resolve-violations"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement from North Carolina-Based Towing Company to Resolve Violations of the Servicemembers Civil Relief Act</span>
</a>",2023-12-26
Press Release,"Justice Department Secures Agreement with Tampa, Florida, to Resolve Discrimination Allegations Related to Its Parental Leave Policy","https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-tampa-florida-resolve-discrimination-allegations"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Tampa, Florida, to Resolve Discrimination Allegations Related to Its Parental Leave Policy</span>
</a>",2023-12-21
Press Release,Justice Department and Consumer Financial Protection Bureau Sue Texas-Based Developer and Lender Colony Ridge for Bait-and-Switch Land Sales and Predatory Financing,"https://www.justice.gov<a href=""/opa/pr/justice-department-and-consumer-financial-protection-bureau-sue-texas-based-developer-and"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department and Consumer Financial Protection Bureau Sue Texas-Based Developer and Lender Colony Ridge for Bait-and-Switch Land Sales and Predatory Financing </span>
</a>",2023-12-20
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks Announcing Lawsuit Against Texas-Based Developer and Lender Colony Ridge,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-announcing-lawsuit-against-1"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks Announcing Lawsuit Against Texas-Based Developer and Lender Colony Ridge</span>
</a>",2023-12-20
Press Release,"Florida Man Indicted for Hate Crime in Murder of Black Man in Kansas City, Missouri","https://www.justice.gov<a href=""/opa/pr/florida-man-indicted-hate-crime-murder-black-man-kansas-city-missouri"" rel=""bookmark"">
<span class=""field-formatter--string"">Florida Man Indicted for Hate Crime in Murder of Black Man in Kansas City, Missouri</span>
</a>",2023-12-20
Press Release,Former Alabama Department of Corrections Lieutenant Sentenced for Civil Rights and Obstruction Offenses for Assaulting a Restrained Inmate and Lying to Cover It Up,"https://www.justice.gov<a href=""/opa/pr/former-alabama-department-corrections-lieutenant-sentenced-civil-rights-and-obstruction"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Alabama Department of Corrections Lieutenant Sentenced for Civil Rights and Obstruction Offenses for Assaulting a Restrained Inmate and Lying to Cover It Up </span>
</a>",2023-12-19
Press Release,Readout of Justice Department’s Law Enforcement Language Access Initiative Virtual Convening,"https://www.justice.gov<a href=""/opa/pr/readout-justice-departments-law-enforcement-language-access-initiative-virtual-convening"" rel=""bookmark"">
<span class=""field-formatter--string"">Readout of Justice Department’s Law Enforcement Language Access Initiative Virtual Convening</span>
</a>",2023-12-12
Press Release,Justice Department Files Statement of Interest in Case Alleging Pennsylvania Jail Unlawfully Denied Access to Medication to Treat Opioid Use Disorder,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-statement-interest-case-alleging-pennsylvania-jail-unlawfully"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Statement of Interest in Case Alleging Pennsylvania Jail Unlawfully Denied Access to Medication to Treat Opioid Use Disorder</span>
</a>",2023-12-11
Press Release,"Justice Department Secures Agreement with Chattanooga, Tennessee, to Resolve Disability-Based Discrimination Lawsuit","https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-chattanooga-tennessee-resolve-disability-based"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Chattanooga, Tennessee, to Resolve Disability-Based Discrimination Lawsuit</span>
</a>",2023-12-11
Press Release,"Federal Court Permanently Stops City of Springfield, Illinois from Enforcing Discriminatory Ordinance and Awards Civil Penalties","https://www.justice.gov<a href=""/opa/pr/federal-court-permanently-stops-city-springfield-illinois-enforcing-discriminatory-ordinance"" rel=""bookmark"">
<span class=""field-formatter--string"">Federal Court Permanently Stops City of Springfield, Illinois from Enforcing Discriminatory Ordinance and Awards Civil Penalties</span>
</a>",2023-12-08
